Individual	Song	song.has.call	Syllable	call	pc_1_value	pc_2_value	pc_3_value	pc_4_value	pc_5_value
2. Collared 10 2013	2013 Collared 10_1	no	1	not call	-0,066870187	0,038170317	0,019621769	0,054908749	0,0271463
2. Collared 10 2013	2013 Collared 10_1	no	2	not call	-0,052146906	0,066211056	0,028524784	-0,019470093	-0,025361176
2. Collared 10 2013	2013 Collared 10_1	no	3	not call	-0,043005033	0,144615224	0,021155169	0,005063195	0,038032346
2. Collared 10 2013	2013 Collared 10_1	no	4	not call	0,026280292	-0,152711512	-0,075103253	0,122375	-0,087748113
2. Collared 10 2013	2013 Collared 10_1	no	5	not call	0,069190573	-0,207332935	-0,11690431	0,040639016	-0,127073263
2. Collared 10 2013	2013 Collared 10_1	no	6	not call	-0,007965384	0,100408403	-0,04456952	0,049682484	0,030018035
2. Collared 10 2013	2013 Collared 10_1	no	7	not call	-0,005027681	-0,215369169	0,022449085	0,006678415	0,040139106
2. Collared 10 2013	2013 Collared 10_3	yes	1	call	-0,074186928	-0,070468694	0,041811714	0,00913885	-0,022603591
2. Collared 10 2013	2013 Collared 10_3	yes	2	not call	-0,001821629	0,064898992	0,050497662	0,013936077	-0,033964131
2. Collared 10 2013	2013 Collared 10_3	yes	3	not call	-0,041020596	0,13409111	0,010752196	-0,019340831	0,014954942
2. Collared 10 2013	2013 Collared 10_3	yes	4	not call	-0,05399874	-0,074418205	0,051602161	0,037971561	-0,02655741
2. Collared 10 2013	2013 Collared 10_3	yes	5	not call	-0,037720971	0,105741113	0,065451334	-0,058201094	0,024390265
2. Collared 10 2013	2013 Collared 10_3	yes	6	not call	-0,039803678	-0,223973048	0,06864301	0,076435324	0,007904597
2. Collared 10 2013	2013 Collared 10_3	yes	7	not call	-0,019339567	0,093966169	0,079826994	-0,027697177	0,018971173
2. Collared 10 2013	2013 Collared 10_5	yes	1	call	-0,063888669	-0,072492566	0,031224355	0,02522953	-0,031613617
2. Collared 10 2013	2013 Collared 10_5	yes	2	not call	-0,014597445	0,084777788	0,031539555	-0,000440982	-0,023833284
2. Collared 10 2013	2013 Collared 10_5	yes	3	not call	-0,015590943	0,089340727	0,038517387	-0,005262436	-0,034491284
2. Collared 10 2013	2013 Collared 10_5	yes	4	not call	-0,016451249	0,134872279	0,013003294	0,030279196	-0,022020601
2. Collared 10 2013	2013 Collared 10_5	yes	5	not call	-0,069634781	-0,071116788	0,064179869	0,036334887	-0,006787544
2. Collared 10 2013	2013 Collared 10_6	yes	1	call	-0,064952973	-0,064385412	0,030681542	0,021113814	0,026162839
2. Collared 10 2013	2013 Collared 10_6	yes	2	not call	-0,001104928	0,085216029	0,065836	-0,002398116	-0,059038586
2. Collared 10 2013	2013 Collared 10_6	yes	3	not call	-0,04393747	0,09372645	0,037084839	-0,011316573	-0,021960993
2. Collared 10 2013	2013 Collared 10_6	yes	4	not call	-0,067140132	-0,079075163	0,071328665	0,023905817	0,015479909
2. Collared 10 2013	2013 Collared 10_6	yes	5	not call	0,659379952	-0,115756096	0,06175076	-0,039734106	-0,009182289
2. Collared 10 2013	2013 Collared 10_6	yes	6	not call	-0,017676696	0,097417206	-0,035542168	0,027888763	0,039825238
2. Collared 10 2013	2013 Collared 10_7	yes	1	call	-0,074787707	0,014293467	0,055864026	0,036284521	0,004832712
2. Collared 10 2013	2013 Collared 10_7	yes	2	not call	-0,030533231	0,089538619	0,011142867	-0,024676811	0,011089403
2. Collared 10 2013	2013 Collared 10_7	yes	3	not call	-0,070821815	-0,07740685	0,085617491	0,018179633	0,007068268
2. Collared 10 2013	2013 Collared 10_7	yes	4	not call	-0,056502625	0,146262881	0,051826518	0,011760027	-0,007508432
2. Collared 10 2013	2013 Collared 10_7	yes	5	not call	0,037370856	-0,151926145	-0,114737946	0,118793778	-0,095412678
2. Collared 10 2013	2013 Collared 10_7	yes	6	not call	0,061518014	-0,175000473	-0,151447466	0,060310692	-0,097961613
2. Collared 10 2013	2013 Collared 10_7	yes	7	not call	-0,027920719	0,092019564	-0,047899113	0,005702511	0,009940797
2. Collared 3 2013	2013 Collared 3_1	yes	1	call	-0,07421974	-0,040726401	0,026462706	0,046212453	0,034068123
2. Collared 3 2013	2013 Collared 3_1	yes	2	not call	-0,039701559	0,092406343	0,065787285	-0,038722491	-0,009038519
2. Collared 3 2013	2013 Collared 3_1	yes	3	not call	-0,075428	0,020878302	0,026799329	-0,002289748	-0,005645277
2. Collared 3 2013	2013 Collared 3_1	yes	4	not call	-0,04167541	0,144751184	0,086728157	-0,076982659	-0,034762397
2. Collared 3 2013	2013 Collared 3_1	yes	5	not call	-0,062565696	0,020302923	0,040120483	0,015102966	-0,014243572
2. Collared 3 2013	2013 Collared 3_1	yes	6	not call	0,076738618	0,162572047	-0,079415478	0,022136297	0,060341923
2. Collared 3 2013	2013 Collared 3_1	yes	7	not call	-0,092421581	-0,242931566	0,056823896	-0,015291311	0,035142576
2. Collared 3 2013	2013 Collared 3_1	yes	8	not call	0,128043917	0,14450303	-0,090103147	0,055876407	0,036556469
2. Collared 3 2013	2013 Collared 3_1	yes	9	not call	-0,052485273	-0,138086159	0,063896632	0,042560321	0,00597778
2. Collared 3 2013	2013 Collared 3_1	yes	10	not call	0,732191498	-0,06592974	0,099109058	0,029298544	-0,033540092
2. Collared 3 2013	2013 Collared 3_1	yes	11	not call	-0,060577341	-0,064255402	0,020293113	0,041593004	0,010522881
2. Collared 3 2013	2013 Collared 3_1	yes	12	not call	0,725002955	-0,054521	0,061915342	-0,073975387	-0,050210751
2. Collared 3 2013	2013 Collared 3_1	yes	13	not call	-0,001191163	0,020597828	0,06482395	0,067548818	-0,051074263
