"area"	"nestbox"	"day"	"time"	"playback_id"	"treatment"	"minute"	"minimum_distance"	"alarm"	"wing_flick"	"graded_resp"
"1"	"WAT"	"C5"	2019-05-03	1899-12-31 06:30:00	"cc-cs-1"	"cc-cs"	6	40	0	0	"1"
"2"	"WAT"	"C5"	2019-05-03	1899-12-31 06:30:00	"cc-cs-1"	"cc-cs"	7	7	1	0	"3"
"3"	"WAT"	"C5"	2019-05-03	1899-12-31 06:30:00	"cc-cs-1"	"cc-cs"	8	1	1	1	"4"
"4"	"WAT"	"C5"	2019-05-03	1899-12-31 06:30:00	"cc-cs-1"	"cc-cs"	9	2	1	1	"4"
"5"	"WAT"	"C5"	2019-05-03	1899-12-31 06:30:00	"cc-cs-1"	"cc-cs"	10	1.5	1	1	"4"
"6"	"WAT"	"6A"	2019-05-03	1899-12-31 07:25:00	"cc-ps-1"	"cc-ps"	6	40	0	0	"1"
"7"	"WAT"	"6A"	2019-05-03	1899-12-31 07:25:00	"cc-ps-1"	"cc-ps"	7	40	0	0	"1"
"8"	"WAT"	"6A"	2019-05-03	1899-12-31 07:25:00	"cc-ps-1"	"cc-ps"	8	0.5	1	1	"4"
"9"	"WAT"	"6A"	2019-05-03	1899-12-31 07:25:00	"cc-ps-1"	"cc-ps"	9	0	1	1	"4"
"10"	"WAT"	"6A"	2019-05-03	1899-12-31 07:25:00	"cc-ps-1"	"cc-ps"	10	40	0	0	"1"
"11"	"RYD"	"X2"	2019-05-04	1899-12-31 07:15:00	"cc-cs-2"	"cc-cs"	6	40	0	0	"1"
"12"	"RYD"	"X2"	2019-05-04	1899-12-31 07:15:00	"cc-cs-2"	"cc-cs"	7	35	0	0	"1"
"13"	"RYD"	"X2"	2019-05-04	1899-12-31 07:15:00	"cc-cs-2"	"cc-cs"	8	40	0	0	"1"
"14"	"RYD"	"X2"	2019-05-04	1899-12-31 07:15:00	"cc-cs-2"	"cc-cs"	9	40	0	0	"1"
"15"	"RYD"	"X2"	2019-05-04	1899-12-31 07:15:00	"cc-cs-2"	"cc-cs"	10	40	0	0	"1"
"16"	"ISG"	"10"	2019-05-05	1899-12-31 07:20:00	"cc-ps-2"	"cc-ps"	6	40	0	0	"1"
"17"	"ISG"	"10"	2019-05-05	1899-12-31 07:20:00	"cc-ps-2"	"cc-ps"	7	40	0	0	"1"
"18"	"ISG"	"10"	2019-05-05	1899-12-31 07:20:00	"cc-ps-2"	"cc-ps"	8	40	0	0	"1"
"19"	"ISG"	"10"	2019-05-05	1899-12-31 07:20:00	"cc-ps-2"	"cc-ps"	9	20	0	0	"1"
"20"	"ISG"	"10"	2019-05-05	1899-12-31 07:20:00	"cc-ps-2"	"cc-ps"	10	10	0	1	"3"
"21"	"VIC"	"84"	2019-05-06	1899-12-31 07:20:00	"cc-ps-3"	"cc-ps"	6	40	0	0	"1"
"22"	"VIC"	"84"	2019-05-06	1899-12-31 07:20:00	"cc-ps-3"	"cc-ps"	7	40	0	0	"1"
"23"	"VIC"	"84"	2019-05-06	1899-12-31 07:20:00	"cc-ps-3"	"cc-ps"	8	20	0	0	"1"
"24"	"VIC"	"84"	2019-05-06	1899-12-31 07:20:00	"cc-ps-3"	"cc-ps"	9	40	0	0	"1"
"25"	"VIC"	"84"	2019-05-06	1899-12-31 07:20:00	"cc-ps-3"	"cc-ps"	10	40	0	0	"1"
"26"	"VIC"	"56"	2019-05-06	1899-12-31 08:50:00	"cc-cs-3"	"cc-cs"	6	40	0	0	"1"
"27"	"VIC"	"56"	2019-05-06	1899-12-31 08:50:00	"cc-cs-3"	"cc-cs"	7	40	0	0	"1"
"28"	"VIC"	"56"	2019-05-06	1899-12-31 08:50:00	"cc-cs-3"	"cc-cs"	8	40	0	0	"1"
"29"	"VIC"	"56"	2019-05-06	1899-12-31 08:50:00	"cc-cs-3"	"cc-cs"	9	5	1	1	"4"
"30"	"VIC"	"56"	2019-05-06	1899-12-31 08:50:00	"cc-cs-3"	"cc-cs"	10	1	1	1	"4"
"31"	"RAL"	"C2"	2019-05-07	1899-12-31 09:30:00	"cc-cs-4"	"cc-cs"	6	10	1	1	"4"
"32"	"RAL"	"C2"	2019-05-07	1899-12-31 09:30:00	"cc-cs-4"	"cc-cs"	7	10	1	1	"4"
"33"	"RAL"	"C2"	2019-05-07	1899-12-31 09:30:00	"cc-cs-4"	"cc-cs"	8	10	1	1	"4"
"34"	"RAL"	"C2"	2019-05-07	1899-12-31 09:30:00	"cc-cs-4"	"cc-cs"	9	5	1	1	"4"
"35"	"RAL"	"C2"	2019-05-07	1899-12-31 09:30:00	"cc-cs-4"	"cc-cs"	10	3	1	1	"4"
"36"	"RAL"	"C2"	2019-05-07	1899-12-31 09:30:00	"cc-cs-4"	"cc-cs"	11	8	1	1	"4"
"37"	"RAL"	"C2"	2019-05-07	1899-12-31 09:30:00	"cc-cs-4"	"cc-cs"	12	0	1	1	"4"
"38"	"RAL"	"C2"	2019-05-07	1899-12-31 09:30:00	"cc-cs-4"	"cc-cs"	13	4	1	1	"4"
"39"	"RAL"	"C2"	2019-05-07	1899-12-31 09:30:00	"cc-cs-4"	"cc-cs"	14	4	1	1	"4"
"40"	"RAL"	"C2"	2019-05-07	1899-12-31 09:30:00	"cc-cs-4"	"cc-cs"	15	8	1	1	"4"
"41"	"EKE"	"12"	2018-05-08	1899-12-31 07:30:00	"cc-ps-4"	"cc-ps"	6	40	0	0	"1"
"42"	"EKE"	"12"	2018-05-08	1899-12-31 07:30:00	"cc-ps-4"	"cc-ps"	7	40	0	0	"1"
"43"	"EKE"	"12"	2018-05-08	1899-12-31 07:30:00	"cc-ps-4"	"cc-ps"	8	40	0	0	"1"
"44"	"EKE"	"12"	2018-05-08	1899-12-31 07:30:00	"cc-ps-4"	"cc-ps"	9	40	0	0	"1"
"45"	"EKE"	"12"	2018-05-08	1899-12-31 07:30:00	"cc-ps-4"	"cc-ps"	10	10	0	0	"2"
"46"	"EKE"	"12"	2018-05-08	1899-12-31 07:30:00	"cc-ps-4"	"cc-ps"	11	10	1	1	"4"
"47"	"EKE"	"12"	2018-05-08	1899-12-31 07:30:00	"cc-ps-4"	"cc-ps"	12	25	0	1	"2"
"48"	"EKE"	"12"	2018-05-08	1899-12-31 07:30:00	"cc-ps-4"	"cc-ps"	13	30	0	0	"1"
"49"	"EKE"	"12"	2018-05-08	1899-12-31 07:30:00	"cc-ps-4"	"cc-ps"	14	40	0	0	"1"
"50"	"EKE"	"12"	2018-05-08	1899-12-31 07:30:00	"cc-ps-4"	"cc-ps"	15	40	0	0	"1"
"51"	"EKE"	"36"	2018-05-08	1899-12-31 09:35:00	"cc-cs-5"	"cc-cs"	6	40	0	0	"1"
"52"	"EKE"	"36"	2018-05-08	1899-12-31 09:35:00	"cc-cs-5"	"cc-cs"	7	8	1	1	"4"
"53"	"EKE"	"36"	2018-05-08	1899-12-31 09:35:00	"cc-cs-5"	"cc-cs"	8	3	1	1	"4"
"54"	"EKE"	"36"	2018-05-08	1899-12-31 09:35:00	"cc-cs-5"	"cc-cs"	9	3	1	1	"4"
"55"	"EKE"	"36"	2018-05-08	1899-12-31 09:35:00	"cc-cs-5"	"cc-cs"	10	7	1	0	"3"
"56"	"EKE"	"36"	2018-05-08	1899-12-31 09:35:00	"cc-cs-5"	"cc-cs"	11	1	1	1	"4"
"57"	"EKE"	"36"	2018-05-08	1899-12-31 09:35:00	"cc-cs-5"	"cc-cs"	12	1	1	1	"4"
"58"	"EKE"	"36"	2018-05-08	1899-12-31 09:35:00	"cc-cs-5"	"cc-cs"	13	0.5	1	1	"4"
"59"	"EKE"	"36"	2018-05-08	1899-12-31 09:35:00	"cc-cs-5"	"cc-cs"	14	5	1	1	"4"
"60"	"EKE"	"36"	2018-05-08	1899-12-31 09:35:00	"cc-cs-5"	"cc-cs"	15	1	1	1	"4"
"61"	"EKE"	"71"	2019-05-09	1899-12-31 08:10:00	"cc-ps-5"	"cc-ps"	6	40	0	0	"1"
"62"	"EKE"	"71"	2019-05-09	1899-12-31 08:10:00	"cc-ps-5"	"cc-ps"	7	40	0	0	"1"
"63"	"EKE"	"71"	2019-05-09	1899-12-31 08:10:00	"cc-ps-5"	"cc-ps"	8	40	0	0	"1"
"64"	"EKE"	"71"	2019-05-09	1899-12-31 08:10:00	"cc-ps-5"	"cc-ps"	9	40	1	0	"2"
"65"	"EKE"	"71"	2019-05-09	1899-12-31 08:10:00	"cc-ps-5"	"cc-ps"	10	40	0	0	"1"
