"year"	"area"	"box"	"nest"	"date"	"nestbox"	"species"	"chick"	"nestchick"	"order"	"playback"	"file"	"recording"	"Songs.with.call"	"Songs.without.call"	"Call.bin"	"Call.prop"	"source"	"treatment"	"beg.rest"	"beg.play"	"clutch.size"	"mass"
"1"	2013	"HOG"	"45"	"2013HOG45"	"6.19"	"HOG45"	"collared"	1	"2013HOG451"	2	"collared"	"1"	"collared1"	8	0	"yes"	1	"sym"	"conspecific"	0	0	3	15.36666667
"4"	2013	"HOG"	"45"	"2013HOG45"	"6.19"	"HOG45"	"collared"	2	"2013HOG452"	2	"collared"	"1"	"collared1"	8	0	"yes"	1	"sym"	"conspecific"	0	0	3	15.36666667
"5"	2013	"HOG"	"45"	"2013HOG45"	"6.19"	"HOG45"	"collared"	3	"2013HOG453"	2	"collared"	"1"	"collared1"	8	0	"yes"	1	"sym"	"conspecific"	16	1	3	15.36666667
"8"	2013	"HOG"	"63"	"2013HOG63"	"6.22"	"HOG63"	"collared"	1	"2013HOG631"	1	"collared"	"7"	"collared7"	8	1	"yes"	0.888888889	"sym"	"conspecific"	0	0	3	13.86666667
"9"	2013	"HOG"	"63"	"2013HOG63"	"6.22"	"HOG63"	"collared"	2	"2013HOG632"	1	"collared"	"7"	"collared7"	8	1	"yes"	0.888888889	"sym"	"conspecific"	0	0	3	13.86666667
"10"	2013	"HOG"	"63"	"2013HOG63"	"6.22"	"HOG63"	"collared"	3	"2013HOG633"	1	"collared"	"7"	"collared7"	8	1	"yes"	0.888888889	"sym"	"conspecific"	0	1	3	13.86666667
"13"	2013	"HOG"	"70"	"2013HOG70"	"6.19"	"HOG70"	"collared"	2	"2013HOG702"	2	"collared"	"3"	"collared3"	4	3	"yes"	0.571428571	"sym"	"conspecific"	1	0	2	14.45
"14"	2013	"HOG"	"70"	"2013HOG70"	"6.19"	"HOG70"	"collared"	1	"2013HOG701"	2	"collared"	"3"	"collared3"	4	3	"yes"	0.571428571	"sym"	"conspecific"	0	0	2	14.45
"17"	2013	"HOG"	"A2"	"2013HOGA2"	"6.19"	"HOGA2"	"collared"	2	"2013HOGA22"	1	"collared"	"4"	"collared4"	2	7	"yes"	0.222222222	"sym"	"conspecific"	0	0	3	13.15
"18"	2013	"HOG"	"A2"	"2013HOGA2"	"6.19"	"HOGA2"	"collared"	3	"2013HOGA23"	1	"collared"	"4"	"collared4"	2	7	"yes"	0.222222222	"sym"	"conspecific"	0	0	3	13.15
"22"	2013	"HOG"	"A2"	"2013HOGA2"	"6.19"	"HOGA2"	"collared"	1	"2013HOGA21"	1	"collared"	"4"	"collared4"	2	7	"yes"	0.222222222	"sym"	"conspecific"	0	0	3	13.15
"23"	2013	"HOG"	"B5"	"2013HOGB5"	"6.19"	"HOGB5"	"collared"	1	"2013HOGB51"	2	"collared"	"5"	"collared5"	6	2	"yes"	0.75	"sym"	"conspecific"	1	0	4	15.85
"25"	2013	"HOG"	"B5"	"2013HOGB5"	"6.19"	"HOGB5"	"collared"	2	"2013HOGB52"	2	"collared"	"5"	"collared5"	6	2	"yes"	0.75	"sym"	"conspecific"	0	0	4	15.85
"26"	2013	"HOG"	"B5"	"2013HOGB5"	"6.19"	"HOGB5"	"collared"	3	"2013HOGB53"	2	"collared"	"5"	"collared5"	6	2	"yes"	0.75	"sym"	"conspecific"	0	0	4	15.85
"27"	2013	"HOG"	"B5"	"2013HOGB5"	"6.19"	"HOGB5"	"collared"	4	"2013HOGB54"	2	"collared"	"5"	"collared5"	6	2	"yes"	0.75	"sym"	"conspecific"	0	0	4	15.85
"31"	2013	"HOG"	"I1"	"2013HOGI1"	"6.22"	"HOGI1"	"collared"	2	"2013HOGI12"	2	"collared"	"8"	"collared8"	0	11	"no"	0	"sym"	"conspecific"	0	0	3	13.66666667
"32"	2013	"HOG"	"I1"	"2013HOGI1"	"6.22"	"HOGI1"	"collared"	3	"2013HOGI13"	2	"collared"	"8"	"collared8"	0	11	"no"	0	"sym"	"conspecific"	0	0	3	13.66666667
"36"	2013	"HOG"	"I1"	"2013HOGI1"	"6.22"	"HOGI1"	"collared"	1	"2013HOGI11"	2	"collared"	"8"	"collared8"	0	11	"no"	0	"sym"	"conspecific"	1	0	3	13.66666667
"37"	2013	"HOG"	"I9"	"2013HOGI9"	"6.22"	"HOGI9"	"collared"	1	"2013HOGI91"	2	"collared"	"10"	"collared10"	6	4	"yes"	0.6	"sym"	"conspecific"	0	0	6	14.35
"38"	2013	"HOG"	"I9"	"2013HOGI9"	"6.22"	"HOGI9"	"collared"	5	"2013HOGI95"	2	"collared"	"10"	"collared10"	6	4	"yes"	0.6	"sym"	"conspecific"	0	0	6	14.35
"39"	2013	"HOG"	"I9"	"2013HOGI9"	"6.22"	"HOGI9"	"collared"	2	"2013HOGI92"	2	"collared"	"10"	"collared10"	6	4	"yes"	0.6	"sym"	"conspecific"	0	0	6	14.35
"40"	2013	"HOG"	"I9"	"2013HOGI9"	"6.22"	"HOGI9"	"collared"	3	"2013HOGI93"	2	"collared"	"10"	"collared10"	6	4	"yes"	0.6	"sym"	"conspecific"	0	0	6	14.35
"41"	2013	"HOG"	"I9"	"2013HOGI9"	"6.22"	"HOGI9"	"collared"	4	"2013HOGI94"	2	"collared"	"10"	"collared10"	6	4	"yes"	0.6	"sym"	"conspecific"	0	0	6	14.35
"47"	2013	"HOG"	"I9"	"2013HOGI9"	"6.22"	"HOGI9"	"collared"	6	"2013HOGI96"	2	"collared"	"10"	"collared10"	6	4	"yes"	0.6	"sym"	"conspecific"	0	0	6	14.35
"49"	2013	"HOR"	"44"	"2013HOR44"	"6.29"	"HOR44"	"collared"	2	"2013HOR442"	1	"collared"	"6"	"collared6"	12	0	"yes"	1	"sym"	"conspecific"	0	25	3	14.91666667
"50"	2013	"HOR"	"44"	"2013HOR44"	"6.29"	"HOR44"	"collared"	1	"2013HOR441"	1	"collared"	"6"	"collared6"	12	0	"yes"	1	"sym"	"conspecific"	0	0	3	14.91666667
"52"	2013	"HOR"	"44"	"2013HOR44"	"6.29"	"HOR44"	"collared"	3	"2013HOR443"	1	"collared"	"6"	"collared6"	12	0	"yes"	1	"sym"	"conspecific"	0	2	3	14.91666667
"55"	2013	"HOR"	"5"	"2013HOR5"	"6.27"	"HOR5"	"collared"	2	"2013HOR52"	2	"collared"	"4"	"collared4"	2	7	"yes"	0.222222222	"sym"	"conspecific"	0	0	2	15.15
"56"	2013	"HOR"	"5"	"2013HOR5"	"6.27"	"HOR5"	"collared"	1	"2013HOR51"	2	"collared"	"4"	"collared4"	2	7	"yes"	0.222222222	"sym"	"conspecific"	0	0	2	15.15
"59"	2013	"HOR"	"B46"	"2013HORB46"	"6.29"	"HORB46"	"collared"	1	"2013HORB461"	2	"collared"	"2"	"collared2"	9	0	"yes"	1	"sym"	"conspecific"	0	30	4	10.13
"61"	2013	"HOR"	"B46"	"2013HORB46"	"6.29"	"HORB46"	"collared"	2	"2013HORB462"	2	"collared"	"2"	"collared2"	9	0	"yes"	1	"sym"	"conspecific"	0	30	4	10.13
"62"	2013	"HOR"	"B46"	"2013HORB46"	"6.29"	"HORB46"	"collared"	3	"2013HORB463"	2	"collared"	"2"	"collared2"	9	0	"yes"	1	"sym"	"conspecific"	0	30	4	10.13
"63"	2013	"HOR"	"B46"	"2013HORB46"	"6.29"	"HORB46"	"collared"	4	"2013HORB464"	2	"collared"	"2"	"collared2"	9	0	"yes"	1	"sym"	"conspecific"	0	30	4	10.13
"67"	2013	"LOT"	"25"	"2013LOT25"	"6.27"	"LOT25"	"collared"	1	"2013LOT251"	2	"collared"	"2"	"collared2"	9	0	"yes"	1	"sym"	"conspecific"	0	0	3	14.6
"70"	2013	"LOT"	"25"	"2013LOT25"	"6.27"	"LOT25"	"collared"	2	"2013LOT252"	2	"collared"	"2"	"collared2"	9	0	"yes"	1	"sym"	"conspecific"	0	0	3	14.6
"71"	2013	"LOT"	"25"	"2013LOT25"	"6.27"	"LOT25"	"collared"	3	"2013LOT253"	2	"collared"	"2"	"collared2"	9	0	"yes"	1	"sym"	"conspecific"	0	0	3	14.6
